Abut,
Apaleng,
Bacsil,
Bangbangolan,
Bangcusay,
Barangay I,
Barangay II,
Barangay III,
Barangay IV,
Baraoas,
Bato,
Biday,
Birunget,
Bungro,
Cabaroan,
Cabarsican,
Cadaclan,
Calabugao,
Camansi,
Canaoay,
Carlatan,
Catbangen,
Dallangayan Este,
Dallangayan Oeste,
Dalumpinas Este,
Dalumpinas Oeste,
Ilocanos Norte,
Ilocanos Sur,
Langcuas,
Lingsat,
Madayegdeg,
Mameltac,
Masicong,
Nagyubuyuban,
Namtutan,
Narra Este,
Narra Oeste,
Pacpaco,
Pagdalagan,
Pagdaraoan,
Pagudpud,
Pao Norte,
Pao Sur,
Parian,
Pias,
Poro,
Puspus,
Sacyud,
Sagayad,
San Agustin,
San Francisco,
Santiago Norte,
Santiago Sur,
San Vicente,
Saoay,
Sevilla,
Sibuan-otong,
Tanqui,
Tanquigan